lon,lat,vs30,z1pt0,z2pt5,vs30measured
90.2,23.5,250,0.3,1.5,0
90.2,23.7,250,0.3,1.5,0
90.2,23.9,250,0.3,1.5,0
90.4,23.5,250,0.3,1.5,0
90.4,23.7,250,0.3,1.5,0
90.4,23.9,250,0.3,1.5,0
90.6,23.5,250,0.3,1.5,0
90.6,23.7,250,0.3,1.5,0
90.6,23.9,250,0.3,1.5,0
90.2,24.5,300,0.4,1.8,0
90.2,24.7,300,0.4,1.8,0
90.2,24.9,300,0.4,1.8,0
90.4,24.5,300,0.4,1.8,0
90.4,24.7,300,0.4,1.8,0
90.4,24.9,300,0.4,1.8,0
90.6,24.5,300,0.4,1.8,0
90.6,24.7,300,0.4,1.8,0
90.6,24.9,300,0.4,1.8,0
91.5,24.5,350,0.5,2.0,0
91.5,24.7,350,0.5,2.0,0
91.5,24.9,350,0.5,2.0,0
91.5,25.1,350,0.5,2.0,0
91.7,24.5,350,0.5,2.0,0
91.7,24.7,350,0.5,2.0,0
91.7,24.9,350,0.5,2.0,0
91.7,25.1,350,0.5,2.0,0
91.9,24.5,350,0.5,2.0,0
91.9,24.7,350,0.5,2.0,0
91.9,24.9,350,0.5,2.0,0
91.9,25.1,350,0.5,2.0,0
92.1,24.5,350,0.5,2.0,0
92.1,24.7,350,0.5,2.0,0
92.1,24.9,350,0.5,2.0,0
92.1,25.1,350,0.5,2.0,0
